block,plot,bg,location,plants,seeds,im tillers,diseased,notes
8,6,S_Plow,sub2,,4,,,
8,6,S_Plow,sub2,,1,,,
8,6,S_Plow,sub2,,2,,,
8,6,S_Plow,sub2,,3,,,
8,6,S_Plow,sub2,,,,1,
8,6,S_Plow,sub2,,3,,,
8,6,S_Plow,sub2,,2,,,
8,6,S_Plow,sub2,,3,,,
8,6,S_Plow,sub2,,2,,,
8,6,S_Plow,sub2,,1,,,
8,6,S_Plow,sub2,,1,,,
8,8,A_low,sub1,17,24,,,
8,8,A_low,sub1,,6,,,
8,8,A_low,sub1,,3,,,
8,8,A_low,sub1,,4,,,
8,8,A_low,sub1,,8,,,
8,8,A_low,sub1,,7,,,
8,8,A_low,sub1,,6,,,
8,8,A_low,sub1,,3,,,
8,8,A_low,sub1,,3,,,
8,8,A_low,sub1,,8,,,
8,8,A_low,sub1,,5,,,
8,8,A_low,sub1,,2,,,
8,8,A_low,sub1,,3,,,
8,8,A_low,sub1,,5,,,
8,8,A_low,sub1,,3,,,
8,8,A_low,sub2,16,4,,,
8,8,A_low,sub2,,3,,,
8,8,A_low,sub2,,3,,,
8,8,A_low,sub2,,3,,,
8,8,A_low,sub2,,3,,,
8,8,A_low,sub2,,7,,,
8,8,A_low,sub2,,3,,,
8,8,A_low,sub2,,6,,,
8,8,A_low,sub2,,4,,,
8,8,A_low,sub2,,4,,,
8,8,A_low,sub2,,5,,,
8,8,A_low,sub2,,3,,,
8,8,A_low,sub2,,3,,,
8,8,A_low,sub2,,3,,,
8,8,A_low,sub2,,2,,,
10,3,control,sub1,0,,,,
10,3,control,sub2,5,16,,,
10,3,control,sub2,,16,,,
10,3,control,sub2,,23,,,
10,3,control,sub2,,19,,,
10,3,control,sub2,,8,,,
10,4,S_Plow,sub1,0,,,,
10,4,S_Plow,sub2,0,,,,
10,4,S_Plow,full,4,5,,,
10,4,S_Plow,full,,72,,,
10,4,S_Plow,full,,6,,,
10,4,S_Plow,full,,0,1,,
10,5,S_Phigh,sub1,5,,,1,
10,5,S_Phigh,sub1,,7,,,
10,5,S_Phigh,sub1,,4,,,
10,5,S_Phigh,sub1,,17,,,
